Time Slot,URL,Request Count,Target Avg Time,Response Avg Time,Status 200,Status 206,Status 301,Status 302,Status 304,Status 400,Status 401,Status 403,Status 404,Status 414,Status 460,Status 500,Status 502,Status 503,Status 504
01:15 - 01:20,/public,440,0.18381516853932583,0.0,430,0,0,0,0,0,0,0,0,0,0,10,0,0,0
01:15 - 01:20,/team/scoreboard,451,0.18381516853932583,0.0,444,0,0,4,0,0,0,0,0,0,0,3,0,0,0
01:15 - 01:20,/login,52,0.18381516853932583,0.0,25,0,0,25,0,0,2,0,0,0,0,0,0,0,0
01:15 - 01:20,/team,312,0.18381516853932583,0.0,309,0,0,3,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/,36,0.18381516853932583,0.0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/team/team/{id},13,0.18381516853932583,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/team/problems/{id}/text,33,0.18381516853932583,0.0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/team/submit,16,0.18381516853932583,0.0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/Image_Balloons@2x.png,17,0.18381516853932583,0.0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/style.css,17,0.18381516853932583,0.0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/client,17,0.18381516853932583,0.0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/favicon.ico,17,0.18381516853932583,0.0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/cc-logo.svg,17,0.18381516853932583,0.0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/newton-logo.png,17,0.18381516853932583,0.0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/gfg-new-logo.png,17,0.18381516853932583,0.0,6,0,0,0,11,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/blackpathway.png,17,0.18381516853932583,0.0,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/ICPC24ONLINE/index.htm,20,0.18381516853932583,0.0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/public/problems/{id}/text,12,0.18381516853932583,0.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/team/submit/{id},4,0.18381516853932583,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/team/problems,23,0.18381516853932583,0.0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/css/fontawesome-all.min.css,14,0.18381516853932583,0.0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/css/bootstrap.min.css,14,0.18381516853932583,0.0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/js/jquery.min.js,14,0.18381516853932583,0.0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/js/domjudge.js,16,0.18381516853932583,0.0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/js/bootstrap.bundle.min.js,14,0.18381516853932583,0.0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/style_domjudge.css,13,0.18381516853932583,0.0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/webfonts/fa-solid-900.woff2,14,0.18381516853932583,0.0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/flags/4x3/in.svg,20,0.18381516853932583,0.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/webfonts/fa-regular-400.woff2,22,0.18381516853932583,0.0,8,2,0,0,12,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/team/submission/{id},14,0.18381516853932583,0.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/favicon.ico,18,0.18381516853932583,0.0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/public/team/{id},16,0.18381516853932583,0.0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/team/clarifications/{id},15,0.18381516853932583,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/public/problems,6,0.18381516853932583,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/jury/updates,5,0.18381516853932583,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/style_login.css,5,0.18381516853932583,0.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01:15 - 01:20,/images/DOMjudgelogo.svg,4,0.18381516853932583,0.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
